"nSubmissionID","sItagID","dDateReviewed","sItagGovernanceType","sDecision","bConstraints","bActionItems","sContentType","sProductManufacturer","sProductName","dDateRequested","sTechnologyHostingModel","sApplicationHostingModel","sDeploymentType","sPurposeForEngagement","bNewITCapability","sITCapability","sBusinessCapability","bCurrentLicenses","sNumberOfUsers","bIntegrationRequired","sIntegrationMethod","bExternalDataSources","sDataObjectsInvolvedInIntegration","sSourceSystem","sTargetSystem","sProductNameWithManufacture","bOpenSource","nEstGaCost","nEstCapitalCost","sITClass","sITSponsor"
"109","TGB039.2016","7/28/2016","Technology","Approved","False","False","TGB Technology Review","Accenture","iCARe - Informatica Code Audit and Review Tool","7/28/2016","On-Premises Infrastructure","","Production","Seeking Approval","False","Middleware & Platform :: Integration & Data Management :: Data Integration :: Extract Transform & Load (ETL)","","","","False","","False","","","","Accenture | iCARe - Informatica Code Audit and Review Tool","No","0.0000","0.0000","Middleware & Platform :: Integration & Data Management","Taylor, Stephen"
"108","TGB040.2016","8/11/2016","Technology","Approved","False","False","TGB Technology Review","CVision","PdfCompressor","8/11/2016","On-Premises Platform","","Production","Seeking Approval","False","Information Delivery :: Content Delivery :: Enterprise Content Management :: Document Automation","","","","False","","False","","","","CVision | PdfCompressor","No","0.0000","0.0000","Information Delivery :: Content Delivery","Wempe, Joe"
"107","AIGB012.2016","9/8/2016","Application","Approved","False","False","AIGB Application Review","DNVGL","Synergi Water","9/8/2016","","On-Premises Hosted Application","Proof of Concept/Technology","Raise Awareness","False","","Operations :: Production Wells and Facilities Operations :: Production System Measurement","","Less than  25","False","","False","","","","DNVGL | Synergi Water","No","0.0000","0.0000","Operations :: Production Wells and Facilities Operations","Cordeiro, Jody"
"106","AIGB013.2016","9/8/2016","Application","Approved","False","False","AIGB Application Review","ATR","Smart Procedures","9/8/2016","","On-Premises Hosted Application","Proof of Concept/Technology","Seeking Approval","False","","Environment, Health and Safety :: EHS Program Management","","Between 25 and 50","False","","False","","","","ATR | Smart Procedures","No","0.0000","0.0000","Environment, Health and Safety :: EHS Program Management","Dolezal, Greg"
"105","AIGB014.2016","9/18/2016","Application","Approved","False","False","AIGB Application Review","Siemens ","PLC programming software","9/8/2016","","On-Premises Hosted Application","Production","Seeking Approval","False","","Operations :: Production Wells and Facilities Operations :: Production System Measurement","","Between 25 and 50","False","","False","","","","Siemens  | PLC programming software","No","0.0000","0.0000","Operations :: Production Wells and Facilities Operations","Manek, Ben"
"104","AIGB015.2016","9/8/2016","Application","Approved","False","False","AIGB Application Review","NIST","Reference Fluid Thermodynamic and Transport Properties Database 23 (REFPROP)","9/8/2016","","On-Premises Hosted Application","Production","Seeking Approval","False","","Engineering :: Well Construction :: Well Drilling","","Less than  25","False","","False","","","","NIST | Reference Fluid Thermodynamic and Transport Properties Database 23 (REFPROP)","No","0.0000","0.0000","Engineering :: Well Construction","Cordeiro, Jody"
"103","AIGB016.2016","9/22/2016","Application","Approved","False","False","AIGB Application Review","Landmark","DecisionSpace Well Planning","9/22/2016","","On-Premises Hosted Application","Production","Seeking Approval","False","","Geoscience :: Asset Exploration","","Between 25 and 50","True","","False","","","","Landmark | DecisionSpace Well Planning","No","0.0000","0.0000","Geoscience :: Asset Exploration","Wilkinson, Steve"
"102","TGB041.2016","9/22/2016","Technology","Approved","True","False","TGB Technology Review","Hewlett Packard (HPE)","Operations Manager i (OMi)","9/22/2016","On-Premises Operations & Automation","","Production","Seeking Approval","False","Infrastructure :: Infrastructure Management :: Monitoring & Event Correlation","","","","False","","False","","","","Hewlett Packard (HPE) | Operations Manager i (OMi)","No","0.0000","0.0000","Infrastructure :: Infrastructure Management","Keenze, Jon"
"101","TGB042.2016","9/22/2016","Technology","Denied","False","False","TGB Technology Review","Jaspersoft","Jasper Dashboards","9/22/2016","On-Premises Platform","","Production","Seeking Approval","False","Information Delivery :: Reporting & Analytics :: Reporting :: Visualization","","","","False","","False","","","","Jaspersoft | Jasper Dashboards","No","0.0000","0.0000","Information Delivery :: Reporting & Analytics","Dolezal, Greg"
"98","TGB043.2016","10/6/2016","Technology","Approved","True","False","TGB Technology Review","SAS","Contextual Analysis","10/6/2016","On-Premises Platform","","Production","Seeking Approval","False","Information Delivery :: Reporting & Analytics :: Analytics :: Advanced Analytics","","","","False","","False","","","","SAS | Contextual Analysis","No","0.0000","0.0000","Information Delivery :: Reporting & Analytics","Ball, Kathy"
"100","TGB043.2016","10/6/2016","Technology","Approved","True","False","TGB Technology Review","SAS","High-Performance Data Mining","10/6/2016","On-Premises Platform","","Production","Seeking Approval","False","Information Delivery :: Reporting & Analytics :: Analytics :: Data Mining","","","","False","","False","","","","SAS | High-Performance Data Mining","No","0.0000","0.0000","Information Delivery :: Reporting & Analytics","Ball, Kathy"
"97","TGB043.2016","10/6/2016","Technology","Approved","True","False","TGB Technology Review","SAS","Forecast Server","10/6/2016","On-Premises Platform","","Production","Seeking Approval","False","Information Delivery :: Reporting & Analytics :: Analytics","","","","False","","False","","","","SAS | Forecast Server","No","0.0000","0.0000","Information Delivery :: Reporting & Analytics","Ball, Kathy"
"99","TGB043.2016","10/6/2016","Technology","Approved","True","False","TGB Technology Review","SAS","Sentiment Analysis","10/6/2016","On-Premises Platform","","Production","Seeking Approval","False","Information Delivery :: Reporting & Analytics :: Analytics :: Advanced Analytics","","","","False","","False","","","","SAS | Sentiment Analysis","No","0.0000","0.0000","Information Delivery :: Reporting & Analytics","Ball, Kathy"
"96","AIGB017.2016","10/6/2016","Application","Approved","False","False","AIGB Application Review","Cerberus","Cerberus","10/6/2016","","On-Premises Hosted Application","Production","Raise Awareness","False","","Engineering :: Well Construction :: Well Drilling","","Not Known at this Time","False","","False","","","","Cerberus | Cerberus","No","0.0000","0.0000","Engineering :: Well Construction","Cordeiro, Jody"
"95","AIGB018.2016","10/20/2016","Application","Approved","False","False","AIGB Application Review","Devon","Convert Land Agreements to Structured Data","10/13/2016","","On-Premises Hosted Application","Research & Development","Consultation/Guidance","False","","Land","","Not Known at this Time","False","","False","","","","Devon | Convert Land Agreements to Structured Data","No","0.0000","0.0000","Land","Cordeiro, Jody"
"93","AIGB019.2016","10/20/2016","Integration","Approved","False","False","AIGB Integration Review","","","10/20/2016","","","Production","Seeking Approval","False","","","","","False","Managed ETL (Batch Extract, Transform, and Load)","False","Engineering :: Well Construction;Enterprise :: Well Status;Geoscience :: Well","Wellview","Actenum","Interface |  Wellview <> Actenum","No","0.0000","0.0000","Integration","Taylor, Stephen"
"92","AIGB020.2016","10/20/2016","Integration","Approved","False","False","AIGB Integration Review","","","10/20/2016","","","Production","Seeking Approval","False","","","","","False","Proprietary Connector","False","Capital Project Management/Budget :: Portfolio","Wellview","Enersight","Interface |  Wellview <> Enersight","No","0.0000","0.0000","Integration","Taylor, Stephen"
"88","AIGB021.2016","11/3/2016","Application","No Decision (ITAG Informed Only)","False","False","AIGB Application Review","Devon","Corporate News App","11/3/2016","","Cloud Hosted Platform as a Service (PaaS)","Production","Seeking Approval","False","","Corporate :: Corporate Operations :: Corporate Communications","","Not Known at this Time","False","","False","","","","Devon | Corporate News App","No","0.0000","0.0000","Corporate :: Corporate Operations","Wempe, Joe"
"89","AIGB021.2016","11/3/2016","Application","No Decision (ITAG Informed Only)","False","False","AIGB Application Review","Devon","Gallerific App","11/3/2016","","Cloud Hosted Platform as a Service (PaaS)","Research & Development","Raise Awareness","False","","Corporate :: Corporate Operations :: Corporate Communications","","Greater than 50","False","","False","","","","Devon | Gallerific App","No","0.0000","0.0000","Corporate :: Corporate Operations","Wempe, Joe"
"90","AIGB021.2016","11/3/2016","Application","No Decision (ITAG Informed Only)","False","False","AIGB Application Review","Devon","Image Slider","11/3/2016","","Cloud Hosted Platform as a Service (PaaS)","Research & Development","Raise Awareness","False","","Corporate :: Corporate Operations :: Corporate Communications","","Greater than 50","False","","False","","","","Devon | Image Slider","No","0.0000","0.0000","Corporate :: Corporate Operations","Wempe, Joe"
"87","AIGB021.2016","11/3/2016","Application","No Decision (ITAG Informed Only)","False","False","AIGB Application Review","Devon","Picture Library Photo Wall","11/3/2016","","Cloud Hosted Platform as a Service (PaaS)","Production","Seeking Approval","False","","Corporate :: Corporate Operations :: Corporate Communications","","Greater than 50","False","","False","","","","Devon | Picture Library Photo Wall","No","0.0000","0.0000","Corporate :: Corporate Operations","Wempe, Joe"
"91","AIGB021.2016","11/3/2016","Application","No Decision (ITAG Informed Only)","False","False","AIGB Application Review","Devon","Stock Ticker","11/3/2016","","Cloud Hosted Platform as a Service (PaaS)","Production","Seeking Approval","False","","Corporate :: Corporate Operations :: Corporate Communications","","Not Known at this Time","False","","False","","","","Devon | Stock Ticker","No","0.0000","0.0000","Corporate :: Corporate Operations","Wempe, Joe"
"86","AIGB022.2016","11/3/2016","Application","Approved","False","False","AIGB Application Review","LMKR","GeoGraphix PRIZM","11/3/2016","","On-Premises Hosted Application","Pilot (Small Production Sample)","Raise Awareness","False","","Geoscience :: Asset Exploration","","Less than  25","False","","False","","","","LMKR | GeoGraphix PRIZM","No","0.0000","0.0000","Geoscience :: Asset Exploration","Wilkinson, Steve"
"79","AIGB020.2017","3/9/2017","Application","Approved","False","True","AIGB Application Review","IKON Science","RokDoc (GeoMechanics and Pressure Prediction)","3/1/2017","","On-Premises Hosted Application","Pilot (Small Production Sample)","Raise Awareness","False","","Geoscience","","Less than  25","True","","False","","","","IKON Science | RokDoc (GeoMechanics and Pressure Prediction)","No","25000","0.0000","Geoscience","Wilkinson, Steve"
"18","AIGB021.2017","3/9/2017","Application","No Decision (ITAG Informed Only)","False","False","AIGB Application Review","Nomadis","Nomadis Travel Accomodation and Workforce Scheduling","3/1/2017","","Cloud Hosted Software as a Service (SaaS)","Production","Raise Awareness","False","","Supply Chain :: Transportation and Logistics :: Transportation and Logistics Management","","Greater than 50","True","","False","","","","Nomadis | Nomadis Travel Accomodation and Workforce Scheduling","No","0.0000","240000","Supply Chain :: Transportation and Logistics","Cordeiro, Jody"
"80","AIGB022.2017","3/9/2017","Application","Approved","False","False","AIGB Application Review","Planview","Troux ","3/2/2017","","Cloud Hosted Software as a Service (SaaS)","Production","Seeking Approval","False","","Information Technology :: IT Planning :: IT Portfolio Management","","Greater than 50","True","","False","","","","Planview | Troux ","No","216000","0.0000","Information Technology :: IT Planning","Hughes, Kim"
"120","TGB048.2016","2/4/2016","Technology","Approved","False","True","TGB Technology Review","VMWare","Airwatch MDM / MAM","2/4/2016","Hybrid (Contains both cloud based and on premises components)","","Production","Seeking Approval","False","End User Computing :: Endpoint Computing :: Mobile Computing Management","","","","False","","False","","","","VMWare | Airwatch MDM / MAM","No","0.0000","0.0000","End User Computing :: Endpoint Computing","Whitley, Brad"
"121","TGB049.2016","2/4/2016","Technology","Approved","False","True","TGB Technology Review","Apache Foundation","NiFi","2/4/2016","On-Premises Platform","","Production","Seeking Approval","False","Middleware & Platform :: Integration & Data Management :: Application Integration :: Message Queing","","","","False","","False","","","","Apache Foundation | NiFi","Yes","0.0000","0.0000","Middleware & Platform :: Integration & Data Management","Taylor, Stephen"
"82","TGB009.2017","3/9/2017","Application","Approved","True","True","AIGB Application Review","x.ai","x.ai Personal Assistant","3/7/2017","","Cloud Hosted Software as a Service (SaaS)","Pilot (Small Production Sample)","Seeking Approval","False","","Enterprise","","Less than  25","False","","False","","","","x.ai | x.ai Personal Assistant","No","0.0000","0.0000","Enterprise","Taylor, Stephen"
"122","AIGB023.2017","3/23/2017","Application","Approved","True","True","AIGB Application Review","Rose & Associates","ProjectRA","3/21/2017","","Hybrid (Contains both cloud based and on premises components)","Proof of Concept/Technology","Raise Awareness","False","","Engineering :: Reservoir Characterization","","Between 25 and 50","True","","False","","","","Rose & Associates | ProjectRA","No","0.0000","0.0000","Engineering :: Reservoir Characterization","Cordeiro, Jody"
"124","TGB010.2017","3/30/2017","Technology","Approved","False","True","TGB Technology Review","IBM","BPM Cloud - Bluemix","3/28/2017","Hybrid (Contains both cloud based and on premises components)","","Pilot (Small Production Sample)","Seeking Approval","False","Middleware & Platform :: Integration & Data Management :: Business Process Management (BPM) & Workflow :: Business Process Management","","","","False","","False","","","","IBM | BPM Cloud - Bluemix","No","20000","0.0000","Middleware & Platform :: Integration & Data Management","Cordeiro, Jody"
"78","TGB011.2017","3/30/2017","Technology","Approved","False","False","TGB Technology Review","Microsoft","Visual Studio Team Services","2/27/2017","Cloud Hosted Software as a Service (SaaS)","","Production","Seeking Approval","False","Middleware & Platform :: Application Platform Services :: Application Development Lifecycle Management","","","","False","","False","","","","Microsoft | Visual Studio Team Services","No","0.0000","0.0000","Middleware & Platform :: Application Platform Services","Taylor, Stephen"
"84","TGB012.2017","3/30/2017","Technology","Approved","False","False","TGB Technology Review","Wombat Security Technologies","Anti-Phishing Suite","3/9/2017","Cloud Hosted Software as a Service (SaaS)","","Production","Seeking Approval","False","Digital Security :: Preventative Security","","","","False","","False","","","","Wombat Security Technologies | Anti-Phishing Suite","No","45000","0.0000","Digital Security :: Preventative Security","Graham, Nate"
"76","TGB013.2017","2/16/2017","Technology","Approved","False","False","TGB Technology Review","Informatica","Informatica Power Exchange for Cloud Applications - Azure Blob Storage","2/16/2017","Cloud Hosted Software as a Service (SaaS)","On-Premises Hosted Application","Research & Development","Seeking Approval","False","Middleware & Platform :: Integration & Data Management :: Data Integration","","","Less than  25","True","","False","","","","Informatica | Informatica Power Exchange for Cloud Applications - Azure Blob Storage","No","0.0000","0.0000","Middleware & Platform :: Integration & Data Management","Taylor, Stephen"
"130","TGB014.2017","4/27/2017","Technology","Approved","True","False","TGB Technology Review","ExtraHop","ExtraHop Discover Appliance","4/19/2017","On-Premises Infrastructure","","Proof of Concept/Technology","Raise Awareness","True","Digital Security :: Detective Security :: Network Based Forensics :: Network Packet Analytics","","","","False","","False","","","","ExtraHop | ExtraHop Discover Appliance","No","40000","200000","Digital Security :: Detective Security","Graham, Nate"
"127","TGB015.2017","4/27/2017","Technology","Approved","True","False","TGB Technology Review","TensorFlow","TensorFlow","4/27/2017","Cloud Hosted Infrastructure as a Service (IaaS)","","Research & Development","Consultation/Guidance","False","Information Delivery :: Reporting & Analytics :: Machine Learning","","","","False","","False","","","","TensorFlow | TensorFlow","Yes","15000","0.0000","Information Delivery :: Reporting & Analytics","Taylor, Stephen"
"138","AIGB024.2017","5/4/2017","Application","Approved","False","False","AIGB Application Review","Schlumberger","Peep Bulk Update Plugin","5/4/2017","","On-Premises Hosted Application","Production","Seeking Approval","False","","Engineering :: Reservoir Characterization :: Reservoir Financial Evaluation","","Less than  25","False","","False","","","","Schlumberger | Peep Bulk Update Plugin","No","0.0000","0.0000","Engineering :: Reservoir Characterization","Whitley, Brad"
"137","AIGB025.2017","5/4/2017","Technology","Approved","False","False","AIGB Application Review","Harvard CBI","Lightsheet CZI to TIFF Image  Converter","5/4/2017","","On-Premises Hosted Application","Pilot (Small Production Sample)","Seeking Approval","False","","Geoscience","","Less than  25","False","","False","","","","Harvard CBI | Lightsheet CZI to TIFF Image  Converter","No","0.0000","0.0000","Geoscience","Wilkinson, Steve"
"132","AIGB025.2017","5/4/2017","Application","Approved","True","False","AIGB Application Review","Golder","FracMan","5/4/2017","","On-Premises Hosted Application","Pilot (Small Production Sample)","Seeking Approval","False","","Geoscience","","Less than  25","True","","False","","","","Golder | FracMan","No","15000","75000","Geoscience","Wilkinson, Steve"
"128","AIGB026.2017","5/4/2017","Application","Approved","True","True","AIGB Application Review","Agile Upstream","Agile Land Insights (ALI)","4/19/2017","","Cloud Hosted Software as a Service (SaaS)","Proof of Concept/Technology","Seeking Approval","False","","Land","","Less than  25","False","","False","","","","Agile Upstream | Agile Land Insights (ALI)","No","4320","50000","Land","Wempe, Joe"
"142","TGB016.2017","5/11/2017","Technology","Approved","True","False","TGB Technology Review","Postdot Technologies","Postman","5/11/2017","On-Premises Platform","","Production","Seeking Approval","False","Middleware & Platform :: Application Platform Services :: Application Development Lifecycle Management :: Application Build & Test","","","","False","","False","","","","Postdot Technologies | Postman","Yes","0.0000","0.0000","Middleware & Platform :: Application Platform Services","Taylor, Stephen"
"145","TGB017.2017","5/11/2017","Technology","Approved","False","False","TGB Technology Review","RISC Networks","CloudScape","5/11/2017","Hybrid (Contains both cloud based and on premises components)","","Production","Seeking Approval","True","Infrastructure :: Infrastructure Management :: Virtual Infrastructure Management","","","","False","","False","","","","RISC Networks | CloudScape","No","0.0000","0.0000","Infrastructure :: Infrastructure Management","Whitley, Brad"
"140","TGB017.2017","5/11/2017","Technology","Approved","False","False","TGB Technology Review","CloudEndure","LiveMigration","5/11/2017","Hybrid (Contains both cloud based and on premises components)","","Production","Seeking Approval","True","Infrastructure :: Infrastructure Management :: Virtual Infrastructure Management","","","","False","","False","","","","CloudEndure | LiveMigration","No","0.0000","0.0000","Infrastructure :: Infrastructure Management","Whitley, Brad"
"136","TGB018.2017","5/11/2017","Technology","Approved","True","False","TGB Technology Review","Microsoft","Visual Studio Mobile Center","5/4/2017","Cloud Hosted Software as a Service (SaaS)","","Production","Seeking Approval","False","End User Computing :: Endpoint Computing :: Mobile Computing Management :: Mobile Application Management (MAM)","","","","False","","False","","","","Microsoft | Visual Studio Mobile Center","No","4335","300","End User Computing :: Endpoint Computing","Graham, Nate"
"144","AIGB027.2017","5/18/2017","Application","Approved","True","False","AIGB Application Review","Accenture","Automation Identification Diagnostic Tool","5/12/2017","","On-Premises Hosted Application","Proof of Concept/Technology","Seeking Approval","False","","Finance and Accounting :: Accounting Management","","Less than  25","True","","False","","","","Accenture | Automation Identification Diagnostic Tool","No","0.0000","0.0000","Finance and Accounting :: Accounting Management","Nicolotti, Daniel"
"139","AIGB028.2017","5/18/2017","Application","Approved","False","False","AIGB Application Review","Articulate","Articulate 360","5/9/2017","","Cloud Hosted Software as a Service (SaaS)","Production","Seeking Approval","False","","Environment, Health and Safety :: EHS Training","","Less than  25","False","","False","","","","Articulate | Articulate 360","No","8800","0.0000","Environment, Health and Safety :: EHS Training","Graham, Nate"
"143","TGB020.2017","5/25/2017","Technology","Approved","True","False","TGB Technology Review","Apache Foundation","Storm","5/11/2017","Cloud Hosted Platform as a Service (PaaS)","","Research & Development","Consultation/Guidance","False","Middleware & Platform :: Distributed Compute Platforms :: Distributed Computation","","","","False","","False","","","","Apache Foundation | Storm","Yes","35000","0.0000","Middleware & Platform :: Distributed Compute Platforms","Taylor, Stephen"
"147","TGB021.2017","5/25/2017","Technology","Approved","True","True","TGB Technology Review","Microsoft","Project Pendleton","5/25/2017","Cloud Hosted Software as a Service (SaaS)","","Pilot (Small Production Sample)","Seeking Approval","False","Information Delivery :: Reporting & Analytics :: Analytics :: Data Exploration","","","","False","","False","","","","Microsoft | Project Pendleton","No","0.0000","0.0000","Information Delivery :: Reporting & Analytics","Taylor, Stephen"
"125","AIGB029.2017","6/15/2017","Application","No Decision (ITAG Informed Only)","False","False","AIGB Application Review","Microsoft","Office 365 Enterprise E5","4/10/2017","","Cloud Hosted Software as a Service (SaaS)","Production","Seeking Approval","False","","Enterprise","","Greater than 50","False","","False","","","","Microsoft | Office 365 Enterprise E5","No","0.0000","0.0000","Enterprise","Whitley, Brad"
"148","AIGB030.2017","6/15/2017","Application","Approved","True","False","AIGB Application Review","Digi","Remote Manager","5/19/2017","","Cloud Hosted Software as a Service (SaaS)","Production","Raise Awareness","False","","Automation","","Less than  25","False","","False","","","","Digi | Remote Manager","No","3750","0.0000","Automation","Manek, Ben"
"149","AIGB031.2017","6/15/2017","Application","Approved","False","False","AIGB Application Review","Enthought Inc.","Virtual Core Basic Viewer 1.8","5/24/2017","","On-Premises Hosted Application","Production","Seeking Approval","False","","Geoscience :: Asset Exploration :: Exploration Strategy","","Less than  25","False","","False","","","","Enthought Inc. | Virtual Core Basic Viewer 1.8","No","0.0000","0.0000","Geoscience :: Asset Exploration","Wilkinson, Steve"
"150","AIGB032.2017","6/15/2017","Application","Approved","False","False","AIGB Application Review","Schlumberger","Schlumberger Cloud Solution Pilot","5/26/2017","","Cloud Hosted Software as a Service (SaaS)","Pilot (Small Production Sample)","Seeking Approval","False","","Geoscience","","Not Known at this Time","True","","False","","","","Schlumberger | Schlumberger Cloud Solution Pilot","No","0.0000","0.0000","Geoscience","Wilkinson, Steve"
"151","AIGB033.2017","6/15/2017","Application","Approved","False","False","AIGB Application Review","Prometheus Group","Budgeting add on","5/26/2017","","On-Premises Hosted Application","Pilot (Small Production Sample)","Seeking Approval","False","","Capital Project Management/Budget :: Planning and Budgeting","","Less than  25","True","","False","","","","Prometheus Group | Budgeting add on","No","6912","45312","Capital Project Management/Budget :: Planning and Budgeting","Dolezal, Greg"
"152","AIGB034.2017","6/15/2017","Application","Approved","False","False","AIGB Application Review","Microsoft","Office 365 SharePoint Online Spotlight Announcement Slider","6/5/2017","","Cloud Hosted Software as a Service (SaaS)","Production","Seeking Approval","False","","","","Not Known at this Time","False","","False","","","","Microsoft | Office 365 SharePoint Online Spotlight Announcement Slider","No","0.0000","0.0000","Integration","Wempe, Joe"
"155","TGB022.2017","6/22/2017","Technology","Approved","False","False","TGB Technology Review","AvePoint  ","Governance Automation Core for Microsoft SharePoint & Office 365","6/12/2017","Hybrid (Contains both cloud based and on premises components)","","Production","Raise Awareness","True","Information Delivery :: Content Delivery :: Enterprise Content Management :: Content Management","","","","False","","False","","","","AvePoint   | Governance Automation Core for Microsoft SharePoint & Office 365","No","0.0000","0.0000","Information Delivery :: Content Delivery","Wempe, Joe"
"156","TGB023.2017","6/22/2017","Technology","Approved","False","False","TGB Technology Review","Cisco","TAC Plus","6/22/2017","On-Premises Infrastructure","","Proof of Concept/Technology","Seeking Approval","False","Digital Security :: Identity & Access Management :: Authentication :: Authentication Proxy Services","","","","False","","False","","","","Cisco | TAC Plus","Yes","0.0000","0.0000","Digital Security :: Identity & Access Management","Graham, Nate"
"84","TGB024.2017","6/22/2017","Technology","Approved","False","False","TGB Technology Review","Wombat Security Technologies","Anti-Phishing Suite","3/9/2017","Cloud Hosted Software as a Service (SaaS)","","Production","Seeking Approval","False","Digital Security :: Preventative Security","","","","False","","False","","","","Wombat Security Technologies | Anti-Phishing Suite","No","45000","0.0000","Digital Security :: Preventative Security","Graham, Nate"
"154","AIGB035.2017","6/29/2017","Application","Approved","False","False","AIGB Application Review","General Electric","3D Facilities Modeling","6/12/2017","","Hybrid (Contains both cloud based and on premises components)","Production","Seeking Approval","False","","Engineering :: Well Construction :: Well Equip and Tie-In","","Not Known at this Time","True","","False","","","","General Electric | 3D Facilities Modeling","No","0.0000","0.0000","Engineering :: Well Construction","Cordeiro, Jody"
"158","AIGB036.2017","6/29/2017","Application","Approved","True","True","AIGB Application Review","Open Microscopy Environment","OMERO","6/26/2017","","On-Premises Hosted Application","Proof of Concept/Technology","Seeking Approval","False","","Geoscience :: Asset Exploration :: Basin Analysis","","Not Known at this Time","False","","False","","","","Open Microscopy Environment | OMERO","Yes","0.0000","5000","Geoscience :: Asset Exploration","Wilkinson, Steve"
"159","TGB025.2017","7/20/2017","Technology","Approved","False","False","TGB Technology Review","Genetec Inc.","Security Center - Synergis and Sipelia","7/6/2017","On-Premises Infrastructure","","Production","Seeking Approval","False","Digital Security :: Identity & Access Management","","","","False","","False","","","","Genetec Inc. | Security Center - Synergis and Sipelia","No","22000","107000","Digital Security :: Identity & Access Management","Graham, Nate"
"161","TGB026.2017","7/20/2017","Technology","Approved","True","False","TGB Technology Review","Phantom ","Security Automation and Orchestration (SA&O) Platform ","7/10/2017","Hybrid (Contains both cloud based and on premises components)","","Production","Seeking Approval","False","Digital Security","","","","False","","False","","","","Phantom  | Security Automation and Orchestration (SA&O) Platform ","No","105000","0.0000","Digital Security","Graham, Nate"
"157","AIGB037.2017","7/13/2017","Application","Approved","True","True","AIGB Application Review","Agile","FleetCommander","6/20/2017","","Cloud Hosted Software as a Service (SaaS)","Production","Seeking Approval","False","","Corporate :: Corporate Operations :: Office Services","","Greater than 50","True","","False","","","","Agile | FleetCommander","No","12000","35000","Corporate :: Corporate Operations","Dolezal, Greg"
"163","TGB027.2017","8/3/2017","Technology","Approved","False","False","TGB Technology Review","Microsoft","Surface Hub 55" & 84"","7/17/2017","Hybrid (Contains both cloud based and on premises components)","","Proof of Concept/Technology","Seeking Approval","True","End User Computing :: Endpoint Computing :: Conference Room Management :: Presentation Projection","","","","False","","False","","","","Microsoft | Surface Hub 55" & 84"","No","0.0000","21000","End User Computing :: Endpoint Computing","Hughes, Kim"
"168","TGB028.2017","8/3/2017","Technology","Approved","True","False","TGB Technology Review","Elastic","Beats Log Collectors","7/19/2017","On-Premises Digital Security","","Production","Seeking Approval","False","Middleware & Platform :: Integration & Data Management :: Application Integration :: Message Queing","","","","False","","False","","","","Elastic | Beats Log Collectors","Yes","0.0000","0.0000","Middleware & Platform :: Integration & Data Management","Taylor, Stephen"
"167","TGB028.2017","8/3/2017","Technology","Approved","True","False","TGB Technology Review","Elastic","Kibana","7/19/2017","Cloud Hosted Platform as a Service (PaaS)","","Production","Seeking Approval","False","Infrastructure :: Infrastructure Management :: Monitoring & Event Correlation","","","","False","","False","","","","Elastic | Kibana","Yes","0.0000","0.0000","Infrastructure :: Infrastructure Management","Taylor, Stephen"
"166","TGB028.2017","8/3/2017","Technology","Approved","True","False","TGB Technology Review","ELastic","Logstash","7/19/2017","Hybrid (Contains both cloud based and on premises components)","","Production","Seeking Approval","False","Infrastructure :: Infrastructure Management :: Monitoring & Event Correlation","","","","False","","False","","","","ELastic | Logstash","Yes","0.0000","0.0000","Infrastructure :: Infrastructure Management","Taylor, Stephen"
"173","TGB029.2017","8/31/2017","Technology","Approved","True","False","TGB Technology Review","Redis","Redis Cache","8/17/2017","Cloud Hosted Platform as a Service (PaaS)","","Pilot (Small Production Sample)","Seeking Approval","False","Middleware & Platform :: Database Management :: Key-Value Database Management","","","","False","","False","","","","Redis | Redis Cache","Yes","14000","0.0000","Middleware & Platform :: Database Management","Taylor, Stephen"
"164","AIGB038.2017","7/20/2017","Application","Approved","False","False","AIGB Application Review","Innovatia","Procedure Accelerator","7/18/2017","","Cloud Hosted Software as a Service (SaaS)","Pilot (Small Production Sample)","Raise Awareness","False","","Environment, Health and Safety","","Greater than 50","False","","False","","","","Innovatia | Procedure Accelerator","No","65000","95000","Environment, Health and Safety","Dolezal, Greg"
"171","AIGB039.2017","9/7/2017","Integration","Approved","False","False","AIGB Integration Review","","","8/8/2017","","","Production","Seeking Approval","False","","","","","False","Services Based (REST/OData/ODBC Through Gateway)","True","Operations :: Production Operation;Supply Chain :: Logistics","PI AF","Ryder scheduling tool","Interface |  PI AF <> Ryder scheduling tool","No","0.0000","0.0000","Integration","Manek, Ben"
"174","TGB031.2017","9/14/2017","Technology","Approved","False","False","TGB Technology Review","Microsoft","Azure Cosmos DB","8/17/2017","Cloud Hosted Platform as a Service (PaaS)","","Production","Seeking Approval","False","Middleware & Platform :: Database Management :: Key-Value Database Management","","","","False","","False","","","","Microsoft | Azure Cosmos DB","No","0.0000","0.0000","Middleware & Platform :: Database Management","Taylor, Stephen"
"176","TGB031.2017","9/14/2017","Technology","Approved","False","False","TGB Technology Review","Microsoft","Azure HDInsight","8/25/2017","Cloud Hosted Platform as a Service (PaaS)","","Production","Seeking Approval","False","Middleware & Platform :: Distributed Compute Platforms :: Distributed Computation","","","","False","","False","","","","Microsoft | Azure HDInsight","Yes","150000","0.0000","Middleware & Platform :: Distributed Compute Platforms","Taylor, Stephen"
"177","TGB031.2017","9/14/2017","Technology","Approved","False","False","TGB Technology Review","Microsoft","Azure SQL Server Data Warehouse","8/25/2017","Cloud Hosted Platform as a Service (PaaS)","","Production","Seeking Approval","False","Middleware & Platform :: Database Management :: Relational Database Management","","","","False","","False","","","","Microsoft | Azure SQL Server Data Warehouse","No","50000","0.0000","Middleware & Platform :: Database Management","Taylor, Stephen"
